AssessmentUnitID,WaterbodyName,Type,RiverBasin,County,Uses,Causes,Sources,Size,UnitType,DownstreamUpstreamLocations,YearListed,Priority,ReportYear,DraftTMDLDate,DateofData,SupportStatus,1996303(d)?
AL03150201-0101-200,Callaway Creek,R,Alabama,Elmore,Fish & Wildlife,Nutrients,AgricultureMunicipal,11.78,miles,Bouldin tailrace canal /its source,2010,M,2020,,,,
AL03150201-0104-302,Three Mile Branch,R,Alabama,Montgomery,Fish & Wildlife,Pesticides (Dieldrin),Unknown source,7.65,miles,Lower Wetumpka Road /its source,2002,L,2020,,,,
AL03150201-0104-302,Three Mile Branch,R,Alabama,Montgomery,Fish & Wildlife,Siltation,Urban development,7.65,miles,Lower Wetumpka Road /its source,2010,L,2020,,,,
AL03150201-0105-300,Mill Creek,R,Alabama,AutaugaElmore,Fish & Wildlife,Siltation,Urban development,8.86,miles,Still Creek /its source,2010,L,2020,,,,
AL03150201-0601-100,Swift Creek,R,Alabama,AutaugaChilton,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,10.55,miles,Autauga County Road 24 /Its source,2020,L,2020,,,,
AL03150201-1006-101,Mulberry Creek,R,Alabama,AutaugaDallas,SwimmingFish & Wildlife,Pathogens (E. coli),Pasture grazing,22.20,miles,Alabama River /Harris Branch,2016,L,2020,,,,
AL03150201-1207-301,Sixmile Creek,R,Alabama,Dallas,Fish & Wildlife,Metals (Mercury),Atmospheric deposition,1.23,miles,Alabama River /Fourmile Creek,2012,L,2020,,,,
AL03150203-0101-100,Washington Creek,R,Alabama,DallasPerry,Fish & Wildlife,Pathogens (E. coli),On-site wastewater systemsPasture grazing,17.24,miles,Bogue Chitto Creek /its source,2016,L,2020,,,,
AL03150203-0103-200,Coffee Creek,R,Alabama,DallasPerry,Fish & Wildlife,Nutrients,Pasture grazing,6.88,miles,Tayloe Creek /its source,2010,L,2020,,,,
AL03150203-0103-200,Coffee Creek,R,Alabama,DallasPerry,Fish & Wildlife,Siltation,Pasture grazing,6.88,miles,Tayloe Creek /its source,2010,L,2020,,,,
AL03150203-0108-110,Bear Creek,R,Alabama,DallasPerry,Fish & Wildlife,Pathogens (E. coli),AquaculturePasture grazing,16.79,miles,Bogue Chitto Creek /Its source,2018,L,2020,,,,
